99,1,"Bonjour, Pan. Je t'attendais. J'ai… eu une vision m'annonçant ta venue. Je suppose que tu veux que je te concote une potion de divulgation du coupable. J'en ai les moyens. Enfin, presque… ",J'ai plus ou moins… Comment dire… Liquidé mon stock d'herbes révélatrices en... Faisant des expériences... Enfin. Ce ne sont pas tes affaires. ,"Si tu veux cette potion, il faut que tu ailles voir le paysan pour qu'il te donne un peu de cette herbe. Je suis sûr que cela ne lui posera pas de problèmes. ","Il en a, genre, une tonne... Et puis... Il ne veut plus vraiment m'en donner..."
99,1,"Hello, Pan. I was waiting for you. I had… a vision from your visit. I suppose you want me to concoct you a divulgation potion so you can catch the guilty villager. I have the means. Well, almost… ",I more or less… How to put it… Liquidated my revealing-herbs stock by... Doing some experiments... Anyway. It's none of your business. ,"But if you want this potion, you need to fetch some of this herb to the peasant. I'm sure it won't bother him to give you some. ","He got, like, a ton of it... And also... He doesn't really want me to have some of that stuff anymore..."
20,0,Est-ce que t'as eu mes… Enfin… Les herbes dont tu as besoin ? Il t'en a donné ?,,,
20,0,Did you got my… Well… The herbs you need ? Did he gave you some ?,,,
20,0,"T'en as eu ? T'en as eu ? Il me les faut vraiment ! Pour ta potion, hein…",,,
20,0,"Did you got some? Did you? I really need those! Well, for your potion, i mean…",,,
75,1,"Cool ! T'as pu avoir de l'herbe révélatrice… Oh, t'en as même un sacré paquet ! Cool cool cool. Ça va bien s'passer… bien s'passer.","J'aurai pas besoin d'autant pour ton incantation, mais pose tout ça là, je trouverai quoi faire du reste, t'en fais pas.",,
75,1,"Cool! You managed to get some revealing-herbs… Oh, you even succeed to gather quite a lot! Cool cool cool. Everythin's gonna be alright… Everything's gonna be alright. ","I won't need as much for your incantation, but put it all right there, i'll figure something to use the rest, don't worry.",,
50,1,Par delà les mers et par delà les montagnes. Volant avec le vent et soufflant dans les arbres.,"J'invoque l'eau, la terre, l'air et le feu. Prêtez-moi vos oreilles, prêtez-moi vos yeux. Puisqu'il y a un printemps, tout survit à l'hiver. ","Nous voulons maintenant dévoiler un mystère. Pouvez-vous me dire, ô esprits anciens, qui dans ce village a...",
50,1,Beyond the seas and beyond the mountains. Flying with the wind and blowing in the trees. ,"I invoke the water, the earth, the air and the fire. Lend me your ears, lend me your eyes. Since there is a spring, everything survives to winter. ","We now want to unveil a mystery. Can you tell me, O ancient spirits, who in this village has...",
30,1,Attends... Maintenant que j'y pense... Je crois avoir vu la lumière de l'Orbe chez le troubadour hier. ,Tu devrais d'abord aller voir là-bas avant que je finisse l'incantation.,,
30,1,Wait... Now that I think of that... I think i saw the Orb's light at the troubadour's home yesterday by night. ,You should check his home before i finish the incantation.,,
10,0,Vraiment... Va voir chez le troubadour. 'doit y avoir une clé qui traîne.,,,
10,0,Really... Go to the troubadour's home. 'must be some key left somewhere.,,,
