99,1,"Haaaa… C'est bon d'te voir ici. Tu viens pas souvent. Et en vrai, ça tombe bien que tu sois dans le coin. J'étais remonté au village pour voir le chaman. ","J'avais besoin d'un remède parce que j'me sentais vraiment pas bien. Comme à chaque fois que j'y vais, les vapeurs de ses décoctions me font tourner la tête et... Je sais pas trop... ","En rentrant, j'ai comme vu une ombre un peu flippante dans la petite forêt jusqu'à chez moi. Ça m'a foutu les j'tons ! J'pense que j'ai dû faire tomber le remède en m'échappant. ","Et maintenant, j'suis plié de douleur ici et j'peux pas vraiment y retourner. Tu voudrais bien y aller pour moi ? ","Si tu fais ça, je pourrai enfin remonter mes filets, j'ai vu un truc briller dedans en plus."
99,1,"Haaa… It's nice to see you. You don't come often around here. Truth is, it's a good thing you're here. I went up to the village to see the shaman. ","I needed a cure because i didn't felt very well. As usual when I go there, the vapors emanating from his decoctions got me a little dizzy and... I don't know... ","Coming back here, i saw something, like a creepy shadow in the woods near my house. That scared the crap out of me! I think i dropped the cure while i was running. ","And now, i'm stuck in pain here and i can't really go back there. Would you be kind and go for me? ","If you do that, i'll finally be able to pull my nests back up, i saw something shining in."
80,0,T'as retrouvé mon remède ?,,,,
80,0,Did you found my cure?,,,,
80,0,J'peux pas trop bouger sans ce remède.,,,,
80,0,I can't really move without that cure.,,,,
80,0,"Même si j'pouvais bouger, j'retournerais pas chercher le remède moi-même. J'ai trop peur.",,,,
80,0,"Even if i could move, i wouldn't go back to find the cure. I'm too scared.",,,,
70,1,Oooooh ! Merci ! T'es vraiment serviable. Ça fait plaisir d'avoir quelqu'un prêt à rendre service. ,"Ok. Maintenant, j'vais pouvoir remonter ça.",,,
70,1,Oooooh! Thank you! You're so helpful. It pleases my heart to have someone ready to help. ,"Ok. Now, i'll be able to back my nests up.",,,
60,1,Ha ben ça alors ! C'pas l'Orbe du Soleil ? Qu'est-ce que ça fait là ? ,"Tu sais quoi, tiens. T'as qu'à la ramener sur son socle sur la plage de la Cérémonie.",,,
60,1,"Well, gee! Isn'it the Orb of the Sun? What's it doin' in here? ","You know what, take it. You'll just have to bring it back on its base on the Ceremony Beach.",,,
10,0,"Quelqu'un m'a dit que je devais te dire que tu devrais aller voir le chaman. C'est bizarre, non ?",,,,
10,0,Somebody told me that I had to tell you to go to the shaman's. Isn't it weird?,,,,
